nom_produit,prix_vente,total_qte,total_ca,nb_commandes,cluster
Bonbon,0.1,2147.0,214.7,813,1
Florida,0.1,18891.0,1445.4,3957,1
Gobelets,0.1,68173.0,6881.98,55774,3
Oris Capsule,0.3,1317.0,358.75,334,1
Légére,0.35,274291.0,90428.6,65971,0
Mouchoirs,0.4,9602.0,3489.16,9064,1
Yoyo,0.4,13.0,5.2,5,1
A emporter,0.5,30.0,15.0,29,1
Mlaoui,0.5,340.0,162.65,266,1
Tabbouna,0.5,1.0,0.5,1,1
Tabouna,0.5,51.0,25.5,35,1
Camel bleu,0.55,184805.0,96045.14,57008,0
Malboro Gold,0.6,66228.0,37814.65,21144,3
Marlboro rouge,0.6,18382.0,10618.57,6706,1
Marlboro Touch,0.6,16246.0,9529.69,4908,1
Arome,0.7,640.0,388.2,523,1
Slice,0.9,64.0,57.6,57,1
Break barre,1.0,24.0,23.4,19,1
Briquets,1.0,1763.0,1341.9,1745,1
Croustina,1.0,14446.0,9174.93,12187,1
Eau Minerale 0.5,1.0,28452.0,21719.42,26489,3
fromage,1.0,443.0,412.35,378,1
Muffin,1.0,152.0,152.0,123,1
Oeuf,1.0,377.0,301.66,321,1
Plum cake,1.0,21.0,21.0,18,1
Prince,1.0,2591.0,2588.6,2209,1
tk orange,1.15,1.0,1.15,1,1
tk télecom,1.15,1.0,1.15,1,1
Brownie,1.2,4704.0,5636.34,4289,1
Dailyn tarte,1.2,174.0,208.8,163,1
Tarte,1.2,283.0,339.6,260,1
Eskimo,1.3,111.0,144.3,82,1
Ooreedo ticket,1.3,797.0,1026.2,672,1
Orange ticket,1.3,757.0,974.3,619,1
TT ticket,1.3,734.0,944.4,651,1
Xplose,1.4,7212.0,9065.06,6439,1
Eau minerale 1.5,1.5,35950.0,46755.64,33249,3
Friski,1.5,95.0,142.5,48,1
Kimo,1.5,21.0,31.5,19,1
Tropico,1.5,20242.0,26543.91,18557,3
Bnino,1.6,4639.0,6482.64,4314,1
Delio,1.6,4485.0,5972.86,4052,1
Momento,1.7,3361.0,4566.52,3041,1
Thé,1.7,11444.0,15913.9,9286,1
Toopy,1.7,39.0,66.3,33,1
Cake,1.8,7915.0,11200.22,7264,1
Chausson,1.8,1699.0,3057.48,1579,1
Crack's,1.8,120.0,216.0,81,1
Crespo,1.8,1658.0,2367.94,1491,1
Harissa,1.8,182.0,327.6,164,1
Millefeuille,1.8,1681.0,3024.72,1539,1
Pain au chocolat,1.8,16840.0,27787.62,15117,3
Paté,1.8,15349.0,27001.3,13483,3
Sable,1.8,3.0,5.4,2,1
tris au lait,1.8,2064.0,2927.92,1848,1
Américain,1.9,19516.0,30535.86,18284,3
Express,1.9,104767.0,160534.45,91847,0
Brownie,2.0,534.0,1068.0,495,1
Club,2.0,3913.0,7241.68,3616,1
"Coca 0,5L",2.0,273.0,538.8,249,1
Formage,2.0,75.0,145.4,72,1
Maestro sensations,2.0,2183.0,3858.14,1981,1
Punch 0.3,2.0,3250.0,5299.07,2968,1
Tajine salé,2.0,88.0,176.0,69,1
Tapis carte,2.0,564.0,1128.0,524,1
Thé menthe,2.0,59.0,118.0,50,1
TUC,2.0,1327.0,2212.36,1280,1
Café au chocolat,2.2,2411.0,4594.4,2303,1
Cappucin,2.2,71134.0,125362.3,63820,0
Néscafe au lait,2.2,1681.0,3233.4,1593,1
Kim cone,2.3,116.0,266.8,92,1
Biskrem,2.5,2833.0,6437.08,2732,1
Café turc,2.5,33.0,82.5,23,1
Canette,2.5,20872.0,38968.96,17916,3
Crème vanille,2.5,691.0,1727.5,631,1
Direct,2.5,45010.0,89367.34,40642,3
Portion frites,2.5,625.0,1054.25,551,1
Sablito,2.5,4778.0,9094.11,4602,1
Souffle,2.5,26220.0,65510.0,22440,3
Judy degraisson,2.6,1.0,2.6,1,1
Cappucino,2.7,77.0,207.9,56,1
Orangina,2.8,426.0,1065.0,410,1
Chapati jambon,3.0,2.0,6.0,2,1
Chkobba,3.0,270.0,810.0,269,1
Citronade,3.0,6844.0,14610.38,6168,1
Classique,3.0,152.0,456.0,136,1
